SERIALNO,SPORDER,WGTP,PWGTP,HINCP,NP,NOC,GRPIP,MHP,FINCP,MRGP,OCPIP,STATE,TEN,HHT,HHT2,HUPAOC,CIT,FER
2023HU0841942,1,73,72,81000,2,0,0,-1,81000,990,19,27,1,1,02,4,1,b
2023HU0841942,2,73,79,81000,2,0,0,-1,81000,990,19,27,1,1,02,4,1,2
2023HU0842046,1,92,92,65020,1,0,0,-1,-60000,0,13,27,2,6,05,4,1,b
2023HU0842064,1,30,30,142400,3,0,0,-1,142400,540,7,27,1,1,02,4,1,b
2023HU0842064,2,30,26,142400,3,0,0,-1,142400,540,7,27,1,1,02,4,1,b
2023HU0842064,3,30,28,142400,3,0,0,-1,142400,540,7,27,1,1,02,4,1,b
2023HU0842115,1,98,97,225000,2,0,0,-1,-60000,2600,15,27,1,7,04,4,1,2
2023HU0842115,2,98,129,225000,2,0,0,-1,-60000,2600,15,27,1,7,04,4,1,b
2023HU0842219,1,96,96,274300,7,3,0,-1,274300,1700,9,27,1,1,01,2,1,b
2023HU0842219,2,96,123,274300,7,3,0,-1,274300,1700,9,27,1,1,01,2,1,2
2023HU0842219,3,96,79,274300,7,3,0,-1,274300,1700,9,27,1,1,01,2,1,b
2023HU0842219,4,96,104,274300,7,3,0,-1,274300,1700,9,27,1,1,01,2,1,b
2023HU0842219,5,96,147,274300,7,3,0,-1,274300,1700,9,27,1,1,01,2,1,b
2023HU0842219,6,96,238,274300,7,3,0,-1,274300,1700,9,27,1,1,01,2,1,b
2023HU0842219,7,96,78,274300,7,3,0,-1,274300,1700,9,27,1,1,01,2,1,b
2023HU0842249,1,13,13,132000,3,1,0,-1,132000,1500,17,27,1,1,01,2,1,1
2023HU0842249,2,13,35,132000,3,1,0,-1,132000,1500,17,27,1,1,01,2,1,b
2023HU0842249,3,13,15,132000,3,1,0,-1,132000,1500,17,27,1,1,01,2,1,b
2023HU0842264,1,129,129,73000,2,0,0,-1,73000,0,11,27,2,1,02,4,1,b
